"IdSalidas","IdOrdenes","IdTela","Fecha","Referencia"
205,0,2,03/10/2005 00:00:00,"Free 376"
206,0,1,24/08/2005 00:00:00,"Free 353"
207,0,3,24/08/2005 00:00:00,"Free 353"
208,0,3,24/08/2005 00:00:00,"Free 354"
209,77,3,07/10/2005 00:00:00,
210,102,29,07/10/2005 00:00:00,
211,105,29,07/10/2005 00:00:00,
212,105,10,07/10/2005 00:00:00,
213,105,1,07/10/2005 00:00:00,
214,112,29,07/10/2005 00:00:00,
215,113,29,07/10/2005 00:00:00,
216,114,29,07/10/2005 00:00:00,
217,94,25,29/09/2005 00:00:00,
218,94,32,29/09/2005 00:00:00,
219,94,26,29/09/2005 00:00:00,
220,95,25,22/09/2005 00:00:00,
221,95,31,22/09/2005 00:00:00,
222,95,26,22/09/2005 00:00:00,
223,96,25,22/09/2005 00:00:00,
224,0,1,07/10/2005 00:00:00,"Cruz Nequis"
225,0,5,07/10/2005 00:00:00,"Cruz Nequis"
226,0,18,07/10/2005 00:00:00,"Cruz Nequis"
227,0,22,07/10/2005 00:00:00,"Cruz Nequis"
228,0,6,07/10/2005 00:00:00,"Cruz Nequis"
229,0,9,07/10/2005 00:00:00,"Cruz Nequis"
230,85,3,10/10/2005 00:00:00,
231,85,16,10/10/2005 00:00:00,
232,78,3,03/10/2005 00:00:00,
233,86,3,03/10/2005 00:00:00,
234,65,3,10/10/2005 00:00:00,
235,66,3,10/10/2005 00:00:00,
236,71,3,10/10/2005 00:00:00,
237,72,3,10/10/2005 00:00:00,
238,87,3,10/10/2005 00:00:00,
239,87,2,10/10/2005 00:00:00,
240,88,3,10/10/2005 00:00:00,
241,88,2,10/10/2005 00:00:00,
242,100,30,06/10/2005 00:00:00,
243,0,2,03/10/2005 00:00:00,"Free 376"
244,103,29,20/10/2005 00:00:00,
245,104,29,20/10/2005 00:00:00,
246,108,29,19/10/2005 00:00:00,
247,89,3,19/10/2005 00:00:00,
248,89,10,19/10/2005 00:00:00,
249,0,2,27/09/2005 00:00:00,"Free 380"
250,106,29,21/10/2005 00:00:00,
251,0,30,03/10/2005 00:00:00,"Fac.30354"
252,0,30,03/10/2005 00:00:00,"Fac.30360"
253,0,30,03/10/2005 00:00:00,"Fac.30751"
254,0,30,03/10/2005 00:00:00,"Fac.30753"
255,0,30,03/10/2005 00:00:00,"Fac.30755"
256,0,29,18/10/2005 00:00:00,"CJS03"
257,0,30,18/10/2005 00:00:00,"CSJ03"
258,0,10,26/10/2005 00:00:00,"Free 382"
259,0,29,27/10/2005 00:00:00,"INTS.01"
260,0,30,21/10/2005 00:00:00,"CSJ04"
261,103,33,20/10/2005 00:00:00,
262,113,33,07/10/2005 00:00:00,
263,0,30,21/10/2005 00:00:00,"CSJ04"
265,0,4,27/10/2005 00:00:00,"D.002"
266,0,2,27/10/2005 00:00:00,"D.002"
267,0,16,27/10/2005 00:00:00,"D.002"
268,0,10,27/10/2005 00:00:00,"D.002"
269,0,30,27/10/2005 00:00:00,"D.002"
270,118,29,18/10/2005 00:00:00,
271,118,30,18/10/2005 00:00:00,
272,115,29,19/10/2005 00:00:00,
273,115,30,19/10/2005 00:00:00,
274,117,29,21/10/2005 00:00:00,
275,117,30,21/10/2005 00:00:00,
276,122,29,24/10/2005 00:00:00,
277,122,30,24/10/2005 00:00:00,
278,116,30,24/10/2005 00:00:00,
279,123,34,03/10/2005 00:00:00,
280,101,29,04/11/2005 00:00:00,
281,0,7,28/09/2005 00:00:00,"Beach01"
282,0,6,28/09/2005 00:00:00,"Beach01"
283,0,3,28/09/2005 00:00:00,"Beach01"
284,0,22,03/11/2005 00:00:00,"Nauc.01"
285,0,33,07/11/2005 00:00:00,"CSJ04"
286,101,29,04/11/2005 00:00:00,
287,101,1,04/11/2005 00:00:00,
288,107,29,04/11/2005 00:00:00,
289,107,29,04/11/2005 00:00:00,
290,0,1,10/11/2005 00:00:00,"Cruz Nequis"
291,0,5,10/11/2005 00:00:00,"Cruz Nequis"
292,0,29,11/11/2005 00:00:00,"CSJ05"
293,0,33,11/11/2005 00:00:00,"CSJ05"
294,121,29,26/10/2005 00:00:00,
295,134,30,03/11/2005 00:00:00,
296,135,30,03/11/2005 00:00:00,
297,0,3,17/11/2005 00:00:00,"Free 372"
298,0,3,17/11/2005 00:00:00,"Free384"
299,0,33,16/11/2005 00:00:00,"CSJ06"
300,0,33,25/10/2005 00:00:00,"POP02"
301,0,33,01/11/2005 00:00:00,"POP03"
302,120,30,08/11/2005 00:00:00,
303,120,33,08/11/2005 00:00:00,
304,124,33,08/11/2005 00:00:00,
