"IdEntregas","IdOrdenes","IdMaquileros","Fecha","Cantidad","Observaciones","FechaEntregaM","PrecioPactado","Consecutivo"
3662,2789,367,18/07/2017 00:00:00,594,,25/07/2017 00:00:00,8.50,1
3663,2802,225,18/07/2017 00:00:00,612,,25/07/2017 00:00:00,9.00,1
3664,2803,225,18/07/2017 00:00:00,612,,26/07/2017 00:00:00,12.00,1
3665,2730,236,18/07/2017 00:00:00,1836,,27/07/2017 00:00:00,27.00,1
3666,2729,345,19/07/2017 00:00:00,396,,25/07/2017 00:00:00,23.00,3
3667,2729,367,19/07/2017 00:00:00,396,,25/07/2017 00:00:00,23.00,4
3668,2801,334,24/07/2017 00:00:00,1248,,26/07/2017 00:00:00,9.00,1
3669,2800,334,24/07/2017 00:00:00,612,,25/07/2017 00:00:00,9.00,1
3670,2804,251,01/08/2017 00:00:00,1248,,05/08/2017 00:00:00,9.00,1
3671,2729,334,19/07/2017 00:00:00,396,,25/07/2017 00:00:00,24.00,5
3672,2802,225,21/07/2017 00:00:00,612,,25/07/2017 00:00:00,9.00,2
3673,2803,225,21/07/2017 00:00:00,624,,26/07/2017 00:00:00,12.00,2
3674,2767,251,21/07/2017 00:00:00,744,,26/07/2017 00:00:00,10.50,1
3675,2800,368,24/07/2017 00:00:00,600,,27/07/2017 00:00:00,9.50,2
3676,2744,158,15/07/2017 00:00:00,276,"se le entrego el corte a josefina el dia 15/07 /17 sin estampar no se ha llevado la combinacion gris a la fecha",,30.00,1
3677,2732,,,0,,12/07/2017 00:00:00,18.00,4
3678,2731,365,28/07/2017 00:00:00,159,"se le repusieron estas piezas a martin rene perdio los bultos",18/07/2017 00:00:00,20.00,5
3679,2729,,,0,,26/07/2017 00:00:00,25.00,6
3680,2737,236,25/07/2017 00:00:00,1712,,04/08/2017 00:00:00,19.00,3
3681,2790,225,25/07/2017 00:00:00,372,,02/08/2017 00:00:00,10.00,1
3682,2768,158,26/07/2017 00:00:00,612,,05/08/2017 00:00:00,25.00,1
3683,2769,225,26/07/2017 00:00:00,752,,04/08/2017 00:00:00,12.00,1
3684,2786,251,26/07/2017 00:00:00,522,,09/08/2017 00:00:00,14.50,1
