"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
478,275,760,18.00,0.00
479,275,986,18.00,0.00
480,275,1001,18.00,0.00
481,275,991,18.00,0.00
482,276,757,190.32,0.00
483,276,764,198.01,0.00
484,277,1001,10.42,0.00
485,278,991,709.96,0.00
486,278,760,610.96,0.00
487,278,1001,91.58,23.37
488,278,986,91.59,21.28
489,279,1286,344.80,0.00
490,279,1292,338.74,0.00
491,279,1280,342.73,0.00
492,280,551,0.00,0.00
493,281,155,31.00,0.00
494,282,141,17.15,0.00
495,283,67,14.24,0.00
496,283,73,21.96,0.00
497,284,315,227.80,0.00
498,285,1269,365.01,58.64
499,286,774,248.45,41.50
500,286,548,203.21,0.00
501,286,545,251.50,0.00
502,286,554,38.50,40.90
503,287,1,0.00,15.75
504,288,554,296.00,0.00
505,288,548,285.10,0.00
506,288,782,33.90,0.00
507,288,545,32.00,0.00
508,289,551,329.57,0.00
509,290,25,79.20,0.00
510,290,35,84.10,0.00
511,291,123,91.49,0.00
512,291,125,88.65,0.00
513,291,119,57.20,0.00
514,292,1008,0.00,0.00
515,293,1053,912.60,218.70
516,294,756,1887.30,218.90
517,294,757,1914.15,0.00
518,294,764,0.00,204.00
519,295,1302,1050.80,23.73
520,295,1308,1085.70,22.42
521,296,1296,1381.90,29.50
522,296,1314,1165.30,21.09
523,297,55,0.00,29.16
524,298,55,0.00,4.00
525,299,1053,822.60,0.00
526,300,1041,0.00,0.00
527,301,1041,829.20,66.20
528,301,1036,941.30,78.00
529,301,1056,955.40,70.47
530,301,1051,943.00,68.34
531,302,762,2160.45,0.00
532,302,1031,2122.10,0.00
533,303,1041,0.00,0.00
534,304,1046,341.10,88.20
535,304,1051,326.30,88.56
536,305,1051,108.50,37.63
537,305,1056,103.04,37.13
538,305,1041,104.10,37.42
539,305,1036,105.80,39.61
540,305,1272,105.36,38.38
541,306,1056,873.06,0.00
542,306,1041,802.80,0.00
543,306,1036,848.10,0.00
544,306,1051,858.88,0.00
545,306,1046,832.95,0.00
546,307,764,1832.48,0.00
547,307,756,2233.33,0.00
548,307,757,55.28,0.00
549,308,129,0.00,40.38
550,308,137,0.00,73.15
551,308,141,0.00,128.49
552,309,323,0.00,148.27
553,309,325,0.00,152.35
554,309,327,0.00,192.54
555,309,329,0.00,18.70
556,310,13,0.00,118.43
557,310,21,0.00,207.13
558,310,15,0.00,18.50
559,310,17,0.00,3.89
560,310,1,0.00,321.01
561,310,27,0.00,42.06
562,310,25,0.00,119.34
563,310,29,0.00,14.70
564,310,29,0.00,90.00
565,311,305,0.00,33.43
566,311,307,0.00,112.49
567,311,311,0.00,113.09
568,311,303,0.00,56.18
569,311,319,0.00,175.66
570,311,321,0.00,89.18
571,311,313,0.00,159.23
572,311,317,0.00,176.75
573,312,59,0.00,53.31
574,312,69,0.00,261.65
575,312,61,0.00,84.96
577,313,55,0.00,218.23
578,313,73,0.00,35.10
579,313,49,0.00,210.35
580,314,41,0.00,19.70
581,314,45,0.00,134.18
582,315,101,0.00,72.60
583,315,103,0.00,47.85
584,315,105,0.00,66.25
585,316,263,0.00,33.53
586,316,249,0.00,35.32
587,316,251,0.00,75.40
588,316,261,0.00,290.00
589,316,257,0.00,169.56
590,316,253,0.00,367.01
591,316,247,0.00,120.60
592,317,213,0.00,173.80
593,318,1036,266.40,76.70
594,318,1056,332.30,90.56
595,318,1041,262.63,72.00
596,319,1042,278.55,16.57
597,319,1037,340.45,20.25
598,319,1052,361.09,21.48
599,319,1057,357.84,20.86
600,320,1042,206.34,12.27
601,320,1037,237.29,14.11
602,320,1052,237.29,14.11
603,320,1057,237.29,14.11
604,321,1042,163.90,14.87
605,321,1037,163.90,14.87
606,321,1052,163.90,14.87
607,321,1057,163.90,14.87
608,322,1042,143.67,13.05
609,322,1037,178.36,16.17
610,322,1052,137.88,12.53
611,322,1057,140.77,12.79
612,323,175,514.68,0.00
613,323,173,380.59,0.00
614,323,183,221.32,0.00
615,323,169,377.96,0.00
616,324,209,153.00,0.00
617,325,217,202.40,48.70
