"IdIPT_Movs","Fecha","Referencia","IdIPT_TipoMov","EnSa","IdMaquileros","ObsMovs","IdIPT_Almacenes","IdUsuarios","TieneModelos","IdRecibos"
1888,20/04/2021 00:00:00,,2,1,404,,2,71,1,9209
1889,20/04/2021 00:00:00,,2,1,404,,1,71,1,0
1890,20/04/2021 00:00:00,,2,1,404,,2,71,1,0
1891,20/04/2021 00:00:00,,2,1,236,,1,71,1,0
1892,20/04/2021 00:00:00,,2,1,236,,2,71,1,0
1893,20/04/2021 00:00:00,,2,1,236,,1,71,1,0
1894,20/04/2021 00:00:00,,2,1,236,,2,71,1,0
1895,20/04/2021 00:00:00,,2,1,236,,1,71,1,0
1896,20/04/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
1897,20/04/2021 00:00:00,,2,1,16,,1,71,1,9217
1898,20/04/2021 00:00:00,,2,1,16,,2,71,1,9218
1899,20/04/2021 00:00:00,,2,1,16,,1,71,1,9219
1900,20/04/2021 00:00:00,,2,1,16,,2,71,1,9220
1901,20/04/2021 00:00:00,,2,1,62,,1,71,1,9222
1902,21/04/2021 00:00:00,,4,1,0,,1,71,1,0
1903,21/04/2021 00:00:00,,5,2,0,"Cklass",1,71,1,0
1904,21/04/2021 00:00:00,"Primeras (1905)",9,2,0,,2,71,1,0
1905,21/04/2021 00:00:00,"Segundas (1904)",9,1,0,,1,71,1,0
1906,21/04/2021 00:00:00,"Primeras (1907)",9,2,0,,2,71,1,0
1907,21/04/2021 00:00:00,"Segundas (1906)",9,1,0,,1,71,1,0
1908,21/04/2021 00:00:00,,15,2,0,,2,71,1,0
1909,21/04/2021 00:00:00,,14,1,0,,1,71,1,0
1910,21/04/2021 00:00:00,,12,1,0,,1,71,1,0
1911,21/04/2021 00:00:00,,14,1,0,,2,71,1,0
1912,21/04/2021 00:00:00,,2,1,16,,1,71,1,9224
1913,21/04/2021 00:00:00,,2,1,16,,2,71,1,9225
1914,22/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1915,22/04/2021 00:00:00,,2,1,404,,1,71,1,9226
1916,22/04/2021 00:00:00,,2,1,404,,2,71,1,9227
1917,22/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1918,22/04/2021 00:00:00,,2,1,251,,1,71,1,9228
1919,22/04/2021 00:00:00,,2,1,251,,2,71,1,9230
1920,22/04/2021 00:00:00,,2,1,251,,1,71,1,9231
1921,23/04/2021 00:00:00,,2,1,369,,1,71,1,9232
1922,23/04/2021 00:00:00,,2,1,369,,2,71,1,9233
1923,23/04/2021 00:00:00,,2,1,369,,1,71,1,9234
1924,23/04/2021 00:00:00,,2,1,369,,2,71,1,9235
1925,23/04/2021 00:00:00,"Primeras (1926)",9,2,0,,2,71,1,0
1926,23/04/2021 00:00:00,"Segundas (1925)",9,1,0,,1,71,1,0
1927,23/04/2021 00:00:00,"Primeras (1928)",9,2,0,,2,71,1,0
1928,23/04/2021 00:00:00,"Segundas (1927)",9,1,0,,1,71,1,0
1929,23/04/2021 00:00:00,,5,2,0,"Aeropostale Coppel",1,71,1,0
1930,23/04/2021 00:00:00,,2,1,226,,1,71,1,0
1931,24/04/2021 00:00:00,,2,1,236,,1,71,1,0
1932,23/04/2021 00:00:00,,2,1,236,,2,71,1,0
1933,23/04/2021 00:00:00,,2,1,158,,1,71,1,9239
1934,24/04/2021 00:00:00,,5,2,0,"Control",1,71,1,0
1935,26/04/2021 00:00:00,"Segundas (1936)",9,2,0,,1,71,1,0
1936,26/04/2021 00:00:00,"Primeras (1935)",9,1,0,,2,71,1,0
1937,26/04/2021 00:00:00,,15,2,0,,1,71,1,0
1938,26/04/2021 00:00:00,,15,2,0,,2,71,1,0
1939,26/04/2021 00:00:00,,11,2,0,,1,71,1,0
1940,23/04/2021 00:00:00,,2,1,158,,1,71,1,9240
1941,24/04/2021 00:00:00,,2,1,404,,1,71,1,0
1942,26/04/2021 00:00:00,,13,2,0,"Ricardo Gazca",1,71,1,0
1944,26/04/2021 00:00:00,,14,1,0,,1,71,1,0
1945,26/04/2021 00:00:00,,13,2,0,,2,71,1,0
1946,26/04/2021 00:00:00,,13,2,0,"Ricardo Gazca",1,71,1,0
1947,26/04/2021 00:00:00,,5,2,0,"Cklass",1,71,1,0
1948,26/04/2021 00:00:00,,14,1,0,,2,71,1,0
1949,26/04/2021 00:00:00,,14,1,0,,1,71,1,0
1950,27/04/2021 00:00:00,,15,2,0,,1,71,1,0
1951,27/04/2021 00:00:00,"Segundas (1952)",9,2,0,,1,71,1,0
1952,27/04/2021 00:00:00,"Primeras (1951)",9,1,0,,2,71,1,0
1953,27/04/2021 00:00:00,,15,2,0,,1,71,1,0
1954,27/04/2021 00:00:00,"Segundas (1955)",9,2,0,,1,71,1,0
1955,27/04/2021 00:00:00,"Primeras (1954)",9,1,0,,2,71,1,0
1956,27/04/2021 00:00:00,,15,2,0,,1,71,1,0
1957,27/04/2021 00:00:00,"Segundas (1958)",9,2,0,,1,71,1,0
1958,27/04/2021 00:00:00,"Primeras (1957)",9,1,0,,2,71,1,0
1959,27/04/2021 00:00:00,,15,2,0,,1,71,1,0
1960,27/04/2021 00:00:00,,12,1,0,,2,71,1,0
1961,27/04/2021 00:00:00,"Segundas (1962)",9,2,0,,1,71,1,0
1962,27/04/2021 00:00:00,"Primeras (1961)",9,1,0,,2,71,1,0
1963,27/04/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
1964,27/04/2021 00:00:00,,14,1,0,,2,71,1,0
1965,27/04/2021 00:00:00,,2,1,236,,1,71,1,9244
1966,27/04/2021 00:00:00,,2,1,236,,2,71,1,9245
1967,28/04/2021 00:00:00,,13,2,0,"Jose Antonio",1,71,1,0
1968,28/04/2021 00:00:00,,2,1,62,,1,71,1,9250
1969,28/04/2021 00:00:00,,2,1,251,,1,71,1,9251
1970,28/04/2021 00:00:00,,2,1,251,,1,71,1,9252
1971,28/04/2021 00:00:00,,2,1,251,,1,71,1,9254
1972,29/04/2021 00:00:00,,8,2,0,"Rafael Salda¤a",1,71,1,0
1973,29/04/2021 00:00:00,,5,2,0,"Coppel",1,71,1,0
1974,29/04/2021 00:00:00,,2,1,404,,1,71,1,9255
1975,29/04/2021 00:00:00,,2,1,404,,2,71,1,9256
1976,29/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1977,29/04/2021 00:00:00,,2,1,226,,1,71,1,9258
1978,23/04/2021 00:00:00,,2,1,396,,1,71,1,9243
1979,23/04/2021 00:00:00,,2,1,396,,2,71,1,9246
1980,29/04/2021 00:00:00,,2,1,158,,1,71,1,9259
1981,29/04/2021 00:00:00,,2,1,404,,1,71,1,9260
1982,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
1983,30/04/2021 00:00:00,"Segundas (1984)",9,2,0,,1,71,1,0
1984,30/04/2021 00:00:00,"Primeras (1983)",9,1,0,,2,71,1,0
1985,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
1986,30/04/2021 00:00:00,"Segundas (1987)",9,2,0,,1,71,1,0
1987,30/04/2021 00:00:00,"Primeras (1986)",9,1,0,,2,71,1,0
1988,30/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1989,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
1990,30/04/2021 00:00:00,"Segundas (1991)",9,2,0,,1,71,1,0
1991,30/04/2021 00:00:00,"Primeras (1990)",9,1,0,,2,71,1,0
1992,30/04/2021 00:00:00,,15,2,0,,1,71,1,0
