"IdCC_AuditoriasDet","IdCC_Auditorias","IdCC_Catalogo","NumFallas"
1383,46,22,0
1384,46,24,0
1385,46,25,0
1386,46,26,0
1387,46,27,0
1388,46,29,0
1389,46,30,0
1390,46,31,0
1391,46,32,0
1392,46,33,0
1393,46,34,20
1394,46,35,0
1395,46,36,0
1396,46,37,0
1397,47,1,0
1398,47,2,0
1399,47,3,0
1400,47,4,0
1401,47,5,0
1402,47,6,0
1404,47,11,0
1405,47,12,0
1406,47,14,0
1407,47,15,0
1408,47,16,0
1410,47,18,0
1411,47,19,0
1412,47,20,0
1413,47,21,0
1414,47,22,0
1415,47,24,0
1416,47,25,0
1417,47,26,0
1418,47,27,0
1419,47,29,0
1420,47,30,0
1421,47,31,0
1422,47,32,0
1423,47,33,0
1424,47,34,3
1425,47,35,0
1426,47,36,0
1427,47,37,0
1428,48,1,0
1429,48,2,0
1430,48,3,0
1431,48,4,0
1432,48,5,0
1433,48,6,0
1435,48,11,0
1436,48,12,0
1437,48,14,0
1438,48,15,0
1439,48,16,0
1441,48,18,0
1442,48,19,0
1443,48,20,0
1444,48,21,0
1445,48,22,0
1446,48,24,0
1447,48,25,0
1448,48,26,0
1449,48,27,0
1450,48,29,0
1451,48,30,0
1452,48,31,0
1453,48,32,0
1454,48,33,0
1455,48,34,1
1456,48,35,4
1457,48,36,0
1458,48,37,0
1459,49,1,0
1460,49,2,0
1461,49,3,0
1462,49,4,0
1463,49,5,0
1464,49,6,0
1465,49,8,0
1466,49,11,0
1467,49,12,0
1469,49,15,0
1470,49,16,0
1472,49,18,0
1473,49,19,0
1474,49,20,0
1475,49,21,0
1476,49,22,0
1477,49,24,0
1478,49,25,0
1479,49,26,0
1480,49,27,0
1481,49,29,0
1482,49,30,0
1483,49,31,0
1484,49,32,0
1485,49,33,0
1486,49,34,7
1487,49,35,0
1488,49,36,1
1489,49,37,0
1490,50,1,0
1491,50,2,0
1492,50,3,0
1493,50,4,0
1494,50,5,0
1495,50,6,0
1496,50,8,0
1497,50,11,0
1498,50,12,0
1499,50,14,0
1500,50,15,0
1501,50,16,0
1502,50,17,0
1503,50,18,0
1504,50,19,0
1505,50,20,0
1506,50,21,0
1507,50,22,0
1508,50,24,0
1509,50,25,0
1510,50,26,0
1511,50,27,0
1512,50,29,0
1513,50,30,0
1514,50,31,0
1515,50,32,0
1516,50,33,0
1517,50,34,0
1518,50,35,0
1519,50,36,0
1520,50,37,0
1521,51,1,0
1522,51,2,0
1523,51,3,0
1524,51,4,0
1525,51,5,0
1526,51,6,0
1528,51,11,0
1529,51,12,0
1530,51,14,0
1531,51,15,0
1532,51,16,0
1534,51,18,0
1535,51,19,0
1536,51,20,0
1537,51,21,0
1538,51,22,0
1539,51,24,0
1540,51,25,0
1541,51,26,0
1542,51,27,0
1543,51,29,0
1544,51,30,0
1545,51,31,0
1546,51,32,0
1547,51,33,0
1548,51,34,7
1549,51,35,0
1550,51,36,0
1551,51,37,3
1552,52,1,0
1553,52,2,0
1554,52,3,0
1555,52,4,0
1556,52,5,0
1557,52,6,0
1559,52,11,0
1560,52,12,0
1561,52,14,0
1562,52,15,0
1563,52,16,0
1565,52,18,0
1566,52,19,0
1567,52,20,0
1568,52,21,0
1569,52,22,0
1570,52,24,0
1571,52,25,0
1572,52,26,0
1573,52,27,0
1574,52,29,0
1575,52,30,0
1576,52,31,0
1577,52,32,0
1578,52,33,0
1579,52,34,3
1580,52,35,0
1581,52,36,0
1582,52,37,0
1583,53,1,0
1584,53,2,0
1585,53,3,0
1586,53,4,0
1587,53,5,0
1588,53,6,0
1589,53,8,0
1590,53,11,0
1591,53,12,0
1592,53,14,0
1593,53,15,0
1594,53,16,0
1595,53,17,0
1596,53,18,0
1597,53,19,0
1598,53,20,0
1599,53,21,0
1600,53,22,0
1601,53,24,0
1602,53,25,0
1603,53,26,0
1604,53,27,0
1605,53,29,0
1606,53,30,0
1607,53,31,0
1608,53,32,0
1609,53,33,0
1610,53,34,0
1611,53,35,0
1612,53,36,0
1613,53,37,0
1614,54,1,0
1615,54,2,0
1616,54,3,0
1617,54,4,0
1618,54,5,0
1619,54,6,0
1621,54,11,0
1622,54,12,0
1623,54,14,0
1624,54,15,0
1625,54,16,0
1627,54,18,0
1628,54,19,0
1629,54,20,0
1630,54,21,0
1631,54,22,0
