"IdModelosTela","IdModelos","IdTelasDis","CantTela","bPreCosto","bProduccion","bCosto"
144,220,4,0.30,1,1,1
145,221,4,0.30,1,1,1
146,222,4,0.25,1,1,1
147,223,5,0.20,1,1,1
159,224,11,0.35,1,1,1
160,225,4,0.35,1,1,1
161,226,11,0.30,1,1,1
162,227,5,0.25,1,1,1
169,228,7,0.50,1,1,1
170,229,4,0.30,1,1,1
171,230,4,0.25,1,1,1
142,231,11,0.30,1,1,1
141,232,4,0.35,1,1,1
143,233,5,0.25,1,1,1
163,234,4,0.40,1,1,1
164,235,4,0.30,1,1,1
165,236,4,0.30,1,1,1
172,237,4,0.30,1,1,1
173,238,11,0.30,1,1,1
166,239,5,0.30,1,1,1
168,240,5,0.30,1,1,1
167,241,5,0.30,1,1,1
148,242,4,0.40,1,1,1
149,243,4,0.35,1,1,1
150,244,4,0.40,1,1,1
175,245,4,0.50,1,1,1
176,246,4,0.40,1,1,1
177,247,4,0.40,1,1,1
200,248,4,0.45,1,1,1
201,250,4,0.35,1,1,1
178,251,4,0.30,1,1,1
186,252,4,0.40,1,1,1
188,253,4,0.40,1,1,1
187,254,4,0.35,1,1,1
189,255,4,0.35,1,1,1
190,256,4,0.45,1,1,1
193,257,4,0.40,1,1,1
191,258,4,0.40,1,1,1
194,259,4,0.35,1,1,1
192,260,4,0.35,1,1,1
195,264,5,0.30,1,1,1
196,265,5,0.30,1,1,1
197,266,5,0.30,1,1,1
235,267,5,0.25,1,1,1
210,268,4,0.50,1,1,1
215,269,5,0.28,1,1,1
213,270,5,0.20,1,1,1
211,271,5,0.26,1,1,1
212,272,4,0.40,1,1,1
218,275,5,0.28,1,1,1
217,276,5,0.20,1,1,1
219,277,5,0.26,1,1,1
220,278,4,0.40,1,1,1
221,279,11,0.35,1,1,1
224,280,4,0.45,1,1,1
225,281,4,0.35,1,1,1
223,282,5,0.25,1,1,1
222,283,4,0.50,1,1,1
226,284,5,0.20,1,1,1
216,285,4,0.50,1,1,1
214,286,4,0.35,1,1,1
202,287,17,0.35,1,1,1
204,288,17,0.35,1,1,1
203,289,17,0.35,1,1,1
205,290,17,0.35,1,1,1
206,295,17,0.35,1,1,1
207,296,17,0.35,1,1,1
208,297,17,0.35,1,1,1
209,298,17,0.35,1,1,1
228,299,5,0.25,1,1,1
227,300,4,0.50,1,1,1
231,301,4,0.30,1,1,1
230,302,4,0.45,1,1,1
236,303,4,0.40,1,1,1
238,304,4,0.50,1,1,1
239,305,4,0.50,1,1,1
240,306,2,0.40,1,1,1
241,307,2,0.50,1,1,1
242,308,2,0.40,1,1,1
283,309,2,0.40,1,1,1
286,310,2,0.50,1,1,1
287,311,2,0.40,1,1,1
258,312,4,0.35,1,1,1
259,313,11,0.35,1,1,1
260,314,4,0.40,1,1,1
261,315,4,0.30,1,1,1
262,316,4,0.40,1,1,1
263,317,4,0.35,1,1,1
264,318,4,0.35,1,1,1
265,319,4,0.35,1,1,1
266,320,4,0.35,1,1,1
267,321,4,0.40,1,1,1
268,322,2,0.45,1,1,1
269,323,2,0.35,1,1,1
270,324,2,0.40,1,1,1
271,325,2,0.35,1,1,1
272,326,2,0.40,1,1,1
273,327,2,0.35,1,1,1
274,328,2,0.40,1,1,1
314,329,2,0.40,1,1,1
275,330,2,0.35,1,1,1
276,331,2,0.35,1,1,1
277,332,2,0.40,1,1,1
279,334,2,0.40,1,1,1
280,335,2,0.35,1,1,1
281,336,2,0.40,1,1,1
229,338,5,0.20,1,1,1
244,339,4,0.50,1,1,1
232,341,4,0.40,1,1,1
233,342,4,0.40,1,1,1
234,344,5,0.27,1,1,1
243,345,1,0.70,1,1,1
303,346,6,0.40,1,1,1
246,347,8,0.26,1,1,1
305,348,6,0.50,1,1,1
