"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
330,8070,$240.00,"3 prendas orden 2715"
331,6970,$214.00,"Ajuste de cuentas"
332,8079,$200.00,"2 prendas orden 2713"
333,8080,$500.00,"Plancha de prendas. Rechazo."
334,8093,$360.00,"3 prendas orden 2711"
335,8097,$320.00,"4 PRENDAS ORDEN 2694"
336,8100,$2400.00,"Transporte"
337,8101,$2000.00,"Descueento tiempo extra"
338,8104,$360.00,"3 prendas orden 2712"
339,8124,$1500.00,"Taxis para recoger la mercancia que no hizo"
340,8129,$320.00,"4 prendas orden 2719"
341,8161,$350.00,"7 prendas orden 2707"
342,8165,$500.00,"Transporte a recogerle Kappa"
343,8176,$200.00,"2 prendas capri, orden 2710"
344,8178,$200.00,"2 prendas orden 2718"
345,8184,$250.00,"2 prendas de kappa"
346,8260,$1480.00,"31 prendas orden 2704"
347,8326,$750.00,"15 PRENDAS ORDEN 2730"
348,8402,$900.00,"6 prendas orden 2742"
349,8405,$208.00,
350,8409,$1320.00,"11 PRENDAS 2745"
351,8414,$550.00,"11 PRENDAS ORDEN 2764 - a la mitad"
352,8451,$800.00,"8 prendas orden 2744"
353,8454,$100.00,"2 prendas 2744"
354,8459,$800.00,"10 prendas orden 2783"
355,8462,$560.00,"7 prendas orden 2818"
356,8466,$0.00,
357,8506,$300.00,"2 prendas orden 2744"
358,8517,$900.00,"6 prendas 2742"
359,8519,$4074.00,
360,8521,$600.00,"4 prendas mallas jafra, orden 2758"
361,8541,$4800.00,"Descuento pendiente de negociar"
362,8544,$604.00,"Prendas faltantes"
363,8335,$938.00,"DESCUENTO ORDEN  2653 COMPUSTURAS POR DEFECTOS ENCONTRADOS"
366,8570,$420.00,"7 prendas ordenes 2759, 2816, 2782"
367,8388,$905.88,"DESCUENTO  GASTOS TIEMPI EXTRA Y ENVIO HABILITACION"
368,8441,$1520.00,"DESCUENTO PRIMERA PARTE ORDEN 2765 ENTREGA FURA DE TIEMPO Y FALTA DE TRANADO EN  380 PIEZAS"
369,8491,$4474.00,"DESCUENTO COMPOSTURAS ORDEN 2744 TIEMPO EXTRA Y TRANSPORTE"
370,8492,$3500.00,"DESCUENTO TIEMPO EXTRA ORDEN 2751"
371,8576,$320.00,"4 prendas orden 2750"
372,8579,$740.00,"5 Prendas 2817 - 50
7 prendas 2782 - 70"
373,8362,$2040.00,"DESCUENTO ORDEN 2765 DESHEBRADO Y PLANCHADO DE PRENDAS."
374,8585,$150.00,"3 prendas 2802"
375,8588,$700.00,"7 prendas orden 2781"
376,8596,$1500.00,"30 prendas orden 2752 - A la mitad"
377,8599,$7353.00,"Reposicion de tela orden 2744"
378,8601,$1345.00,"Compostura bolsas orden 2744"
379,8629,$0.00,"Descuento cierres mal pegados orden 2765"
380,8638,$390.00,"3 Prendas 2798"
381,8647,$320.00,"4 prendas orden 2785"
382,8673,$95.00,"reposicion jareta faltante color blanca."
383,8659,,
384,8675,$250.00,"5 prendas orden 2735"
385,8677,$150.00,"2 prendas orden 2785"
386,8687,$7590.00,"DESCUENTO ORDEN 2735 POR ENTREGA FUERA DE TIEMPO , PAGO DE VELADAS , ETIQUETAS, BOTON"
387,8688,,
388,8691,$105.00,"pagado etiqueta orden 2784"
389,8692,$0.00,"DESCEUTNO ORDEN 2800 MERCANCIA SIN MONARCH"
390,8694,$250.00,"TIEMPO EXTRA VELADA ORDEN 2735"
391,8354,$286.00,"DESCUENTO ORDEN 2741 PRENDAS SIN ETIQUETAS."
392,8360,$0.00,"DESCUENTO ORDEN 2765 ETIQUETA MAL COSIDA (770.00)"
393,8721,$150.00,"2 prendas orden 2825"
394,8735,$2116.00,"DESCUENTO ORDEN 2825 300 METROS DE PALMITA A 2.85 TOTAL $855.00   ORDEN 2837  400 METRODE DE PALMITA NEGRA A 2.85 $ 1140 Y  408 ETIQUETAS DE MARCA A .29 $ 121"
395,8738,$150.00,"2 prendas orden 2822"
396,8740,$311.00,"ORDEN 2825  PRENDAS SIN JARETA   Y ETIQUETA"
397,8736,$730.00,"DESCUENTO ORDEN 2825  53 PIEZAS SIN JARETA Y ETIQUETA  $130 , 150 PIEZAS SIN JARETA 4 CADA UNA $ 600"
398,8756,$0.00,"22 prendas ordenes 2837"
399,8768,$160.00,"2 prendas orden 2834"
