"IdProm_ExisFecha","CodigoExis","Tienda","CantExis"
1,"73802169C6317",48,16
1,"73802169L6309",27,25
1,"73802169L6309",26,11
1,"73802169L6309",25,24
1,"73802169L6309",15,23
1,"73802169L6309",33,5
1,"73802169L6309",17,3
1,"73802169L6309",28,13
1,"73802169L6309",12,11
1,"73802169L6309",32,1
1,"73802169L6309",45,9
1,"73802169L6309",20,6
1,"73802169L6309",24,9
1,"73802169L6312",10,7
1,"73802169L6312",32,20
1,"73802169L6312",1,9
1,"73802169L6312",40,7
1,"73802169L6312",4,6
1,"73802199B6007",31,46
1,"73802199B6007",15,16
1,"73802199B6007",40,37
1,"73802199B6007",48,16
1,"73802199B6007",23,13
1,"73802199B6007",1,18
1,"73802199B6007",10,28
1,"73802199B6007",5,36
1,"73802199B6007",14,30
1,"73802199B6007",4,19
1,"73802199B6007",44,16
1,"73802199B6302",1,45
1,"73802199B6302",42,20
1,"73802199B6302",10,39
1,"73802199B6302",20,36
1,"73802199B6302",30,12
1,"73802199B6302",5,35
1,"73802199B6302",14,48
1,"73802199B6302",4,34
1,"73802199B6302",43,53
1,"73802199B6302",34,10
1,"73802199B6302",31,12
1,"73802199B6302",36,36
1,"73802199B6302",29,20
1,"73802199B6302",28,22
1,"73802199B6302",11,24
1,"73802199B6302",3,20
1,"73802199C4308",2,93
1,"73802199C4308",32,93
1,"73802199C4308",29,62
1,"73802199C4308",39,78
1,"73802199C4308",40,68
1,"73802199C4308",50,101
1,"73802199C4308",33,170
1,"73802199C4308",35,60
1,"73802199C4308",19,107
1,"73802199C4308",4,133
1,"73802199C4308",34,48
1,"73802199C4308",24,47
1,"73802199C4308",70,47
1,"73802199C4308",47,113
1,"73802199C4308",16,146
1,"73802199C4308",21,110
1,"73802199C4308",17,186
1,"73802199C4308",42,50
1,"73802199C4308",46,24
1,"73802199C4308",30,135
1,"73802199C4308",15,42
1,"73802199C4308",37,84
1,"73802199C4308",45,203
1,"73802199C4308",27,86
1,"73802199C4308",36,97
1,"73802199C4308",14,96
1,"73802199C4308",10,149
1,"73802199C4308",28,106
1,"73802199C4308",18,131
1,"73802199C4308",11,53
1,"73802199C4308",3,112
1,"73802199C4308",49,116
1,"73802199C4308",48,82
1,"73802199C4308",43,62
1,"73802199C4308",23,69
1,"73802199C4308",1,272
1,"73802199C4308",25,68
1,"73802199C4308",41,62
1,"73802199C4308",5,89
1,"73802199C4308",31,106
1,"73802199C4308",44,93
1,"73802199C4308",26,107
1,"73802199C4308",22,30
1,"73802199C4308",7,99
1,"73802199C4308",20,59
1,"73802199C4308",12,99
1,"73802199C4312",70,18
1,"73802199C4312",21,3
1,"73802199C4312",34,6
1,"73802199C4312",14,19
1,"73802199C4312",4,3
1,"73802199C4312",23,61
1,"73802199C4312",11,3
1,"73802199C4312",30,6
1,"73802199C4312",41,6
1,"73802199C4312",31,6
1,"73802199C4312",48,51
1,"73802199C4312",46,6
1,"73802199C4312",16,35
1,"73802199C4312",22,58
1,"73802199C4312",42,7
1,"73802199C4312",3,8
1,"73802199C4312",37,7
1,"73802199C4312",17,19
1,"73802199C4312",45,50
1,"73802199C4312",36,6
1,"73802199C4312",25,21
1,"73802199C4312",40,51
1,"73802199C4312",33,8
1,"73802199C4312",24,8
1,"73802199C6309",24,27
1,"73802199C6309",33,27
1,"73802199C6309",47,15
1,"73802199C6309",7,32
1,"73802199C6309",4,32
1,"73802199C6309",2,112
1,"73802199C6309",46,37
1,"73802199C6309",12,63
1,"73802199C6309",21,34
1,"73802199C6309",17,45
1,"73802199C6309",70,5
1,"73802199C6309",49,63
1,"73802199C6309",36,27
1,"73802199C6309",45,9
1,"73802199C6309",28,22
1,"73802199C6309",25,16
1,"73802199C6309",10,42
1,"73802199C6309",11,55
1,"73802199C6309",48,9
1,"73802199C6309",43,29
1,"73802199C6309",1,29
1,"73802199C6309",22,46
1,"73802199C6309",31,23
1,"73802199C6309",42,54
1,"73802199C6309",50,7
1,"73802199C6309",16,26
1,"73802199C6309",40,30
1,"73802199C6309",19,29
1,"73802199C6309",35,15
1,"73802199C6309",3,68
1,"73802199C6309",30,48
1,"73802199C6309",37,22
1,"73802199C6309",5,30
1,"73802199C6309",14,35
1,"73802199C6309",23,75
1,"73802199C6322",49,6
1,"73802199C6322",70,19
1,"73802219C4311",25,18
1,"73802219C4311",18,87
1,"73802219C4311",45,25
1,"73802219C4311",1,23
1,"73802219C4311",36,68
1,"73802219C4311",10,30
1,"73802219C4311",43,6
1,"73802219C4311",28,10
1,"73802219C4311",17,10
1,"73802219C4311",11,15
1,"73802219C4311",5,40
1,"73802219C4311",33,31
1,"73802219C4311",49,49
1,"73802219C4311",32,10
1,"73802219C4311",70,82
1,"73802219C4311",21,9
1,"73802219C4311",34,18
1,"73802219C4311",14,20
1,"73802219C4311",4,9
1,"73802219C4311",27,12
1,"73802219C4311",20,40
1,"73802219C4311",42,12
1,"73802219C4311",50,29
1,"73802219C4311",30,17
1,"73802219C4311",41,18
1,"73802219C4311",2,34
1,"73802219C4311",44,20
1,"73802219C4311",16,18
1,"73802219C4311",31,18
1,"73802219C4311",19,12
1,"73802219C4311",46,18
1,"73802219C4318",46,16
1,"73802219C4318",14,25
1,"73802219C4318",42,50
1,"73802219C4318",28,18
1,"73802219C4318",29,8
1,"73802219C4318",22,63
1,"73802219C4318",10,15
1,"73802219C4318",12,50
1,"73802219C4318",25,38
1,"73802219C4318",11,48
1,"73802219C4318",2,73
1,"73802219C4318",43,25
1,"73802219C4318",21,46
1,"73802219C4318",30,25
1,"73802219C4318",3,25
1,"73802219C4318",70,173
1,"73802219C4318",48,29
1,"73802219C4318",19,9
1,"73802219L6311",29,12
1,"73802249B6002",11,23
1,"73802249B6002",42,32
1,"73802249B6002",4,37
1,"73802249B6002",24,48
1,"73802249B6002",2,4
1,"73802249B6002",12,48
1,"73802249B6002",28,30
1,"73802249B6002",1,38
1,"73802249B6002",10,32
1,"73802249B6301",37,30
1,"73802249C4319",30,49
1,"73802249C4319",4,53
1,"73802249C4319",43,30
1,"73802249C4319",70,20
1,"73802249C4319",16,5
1,"73802249C4319",1,46
1,"73802249C4319",19,41
1,"73802249C4319",10,45
1,"73802249C4319",22,73
1,"73802249C4319",24,33
1,"73802249C4319",29,45
1,"73802249C4325",50,30
1,"73802249C4325",46,34
1,"73802249C6312",34,10
1,"73802249C6312",17,11
1,"73802249C6312",31,36
1,"73802249C6312",22,2
1,"73802249C6312",2,37
1,"73802249C6312",40,26
1,"73802249C6312",15,1
1,"73802249C6312",11,12
1,"73802249C6312",14,15
1,"73802249C6312",23,32
1,"73802249C6312",3,28
1,"73802249C6312",33,39
1,"73802249C6312",26,16
1,"73802249C6312",7,38
1,"73802249C6312",37,16
1,"73802249C6312",49,52
1,"73802249C6312",36,26
1,"73802249C6312",45,38
1,"73802249C6312",50,16
1,"73802249C6312",16,32
1,"73802249C6321",1,28
1,"73802249C6321",32,16
1,"73802249C6321",27,16
1,"73802249C6321",12,7
1,"73802249C6321",41,14
1,"73802249C6321",44,14
1,"73802249C6321",39,16
1,"73802249C6321",22,15
