"IdProm_Codigos","ModeloProm","CodigoProm","Proveedor","IdPrenda","IdGenero","Consecutivo","IdPartida","Precio","Precio2","Foto1","Foto2","CostoUS","CantidadRec","IdUsuarios"
31,"S6305","73802399S6305","738","S",6,305,2,349,399.00,"S6305a","S6305b",36.50,100,1
32,"P4301","73802249P4301","738","P",4,301,2,209,249.00,"P4301a","P4301b",22.50,300,1
33,"S6306","73802399S6306","738","S",6,306,2,349,399.00,"S6306a","S6306b",36.50,300,1
34,"W6303","73802449W6303","738","W",6,303,2,379,449.00,"W6303a","W6303b",42.50,50,1
35,"S4307","73802399S4307","738","S",4,307,2,349,399.00,"S4307a","S4307b",36.50,200,1
36,"C6310","73802169C6310","738","C",6,310,2,149,169.00,"C6310a","C6310b",17.50,550,1
37,"L6309","73802169L6309","738","L",6,309,2,149,169.00,"L6309a","L6309b",17.50,100,1
38,"L6310","73802299L6310","738","L",6,310,2,249,299.00,"L6310a","L6310b",29.50,500,1
39,"C4311","73802219C4311","738","C",4,311,2,189,219.00,"C4311a","C4311b",22.50,1000,1
40,"C6004","73802169C6004","738","C",6,4,2,149,169.00,"C6004a","C6004b",17.50,800,1
41,"C6005","73802169C6005","738","C",6,5,2,149,169.00,"C6005a","C6005b",17.50,850,1
42,"C4312","73802199C4312","738","C",4,312,2,169,199.00,"C4312a","C4312b",17.50,600,1
43,"C6312","73802249C6312","738","C",6,312,2,209,249.00,"C6312a","C6312b",24.50,500,1
44,"C6314","73802149C6314","738","C",6,314,2,129,149.00,"C6314a","C6314b",14.50,300,1
45,"C6315","73802149C6315","738","C",6,315,2,,149.00,"C6315a","C6315b",14.50,200,1
46,"C6316","73802119C6316","738","C",6,316,2,99,119.00,"C6316a","C6316b",12.50,200,1
47,"B6301","73802249B6301","738","B",6,301,2,209,249.00,"B6301a","B6301b",32.50,100,1
48,"L6311","73802219L6311","738","L",6,311,2,189,219.00,"L6311a","L6311b",22.50,100,1
49,"B6002","73802249B6002","738","B",6,2,2,209,249.00,"B6002a","B6002b",24.50,200,1
50,"B6003","73802349B6003","738","B",6,3,2,289,349.00,"B6003a","B6003b",34.50,150,1
51,"C6317","73802169C6317","738","C",6,317,2,149,169.00,"C6317a","C6317b",17.50,200,0
52,"C4318","73802219C4318","738","C",4,318,2,189,219.00,"C4318a","C4318b",22.50,300,0
53,"B6004","73802299B6004","738","B",6,4,2,249,299.00,"B6004a","B6004b",29.50,200,0
54,"B6302","73802199B6302","738","B",6,302,2,169,199.00,"B6302a","B6302b",19.50,50,0
55,"C4319","73802249C4319","738","C",4,319,2,209,249.00,"C4319a","C4319b",24.50,300,0
56,"C4320","73802169C4320","738","C",4,320,2,149,169.00,"C4320a","C4320b",16.50,200,0
57,"C6321","73802249C6321","738","C",6,321,2,209,249.00,"C6321a","C6321b",24.50,200,0
58,"B6005","73802299B6005","738","B",6,5,2,249,299.00,"B6005a","B6005b",29.50,250,0
59,"B6006","73802399B6006","738","B",6,6,2,,399.00,"B6006a","B6006b",39.50,25,0
60,"L6312","73802169L6312","738","L",6,312,2,149,169.00,"L6312a","L6312b",17.50,50,0
